smiles,CAS_number,formula,IUPAC_Name,property,temperature,value,smiles_base
C1CCC=CC1,110-83-8,C6H10,cyclohexene,octanol_water_partition_coefficient,-,2.86
OC(=O)C1CCC(CC1)C(O)=O,619-82-9,C8H12O4,"1,4-cyclohexanedicarboxylic acid",octanol_water_partition_coefficient,-,2.71
C1CCCCCCC1,292-64-8,C8H16,cyclooctane,octanol_water_partition_coefficient,-,4.45
OC1CCCCC1,108-93-0,C6H12O,cyclohexanol,octanol_water_partition_coefficient,-,1.23
O=C1CCCCC1,108-94-1,C6H10O,cyclohexanone,octanol_water_partition_coefficient,-,0.81
C1CCCC1,287-92-3,C5H10,cyclopentane,octanol_water_partition_coefficient,-,3
C1CCC2CCCCC2C1,493-01-6,C10H18,cis-decahydronaphthalene,octanol_water_partition_coefficient,-,4.2
C1CCC2CCCCC2C1,493-02-7,C10H18,trans-decahydronaphthalene,octanol_water_partition_coefficient,-,4.2
O=CCCCCCCCCC,112-31-2,C10H20O,decanal,octanol_water_partition_coefficient,-,3.76
C1CC=CC1,142-29-0,C5H8,cyclopentene,octanol_water_partition_coefficient,-,2.47
CCCCCCCC(O)CC,1565-81-7,C10H22O,3-decanol,octanol_water_partition_coefficient,-,3.94
C(CCCCC)CCCC,124-18-5,C10H22,decane,octanol_water_partition_coefficient,-,5.01
CCCCCC(O)CCCC,5205-34-5,C10H22O,5-decanol,octanol_water_partition_coefficient,-,3.71
C1CC1,75-19-4,C3H6,cyclopropane,octanol_water_partition_coefficient,-,1.72
OCCCCCCCCCC,112-30-1,C10H22O,1-decanol,octanol_water_partition_coefficient,-,4.57
C#CCCCCCCCC,764-93-2,C10H18,1-decyne,octanol_water_partition_coefficient,-,5.12
CCCCCCCCC(C)S,13402-60-3,C10H22S,2-decanethiol,octanol_water_partition_coefficient,-,5.4
OC(=O)CCCCCCCCC,334-48-5,C10H20O2,decanoic acid,octanol_water_partition_coefficient,-,4.09
CCCCCCCCCCOC=O,5451-52-5,C11H22O2,decyl formate,octanol_water_partition_coefficient,-,5.37
N(CCCC)CCCC,111-92-2,C8H19N,dibutylamine,octanol_water_partition_coefficient,-,2.83
BrCBr,74-95-3,CH2Br2,dibromomethane,octanol_water_partition_coefficient,-,1.7
O(CCCC)CCCC,142-96-1,C8H18O,dibutyl ether,octanol_water_partition_coefficient,-,3.21
CCC#CCCCCCC,2384-85-2,C10H18,3-decyne,octanol_water_partition_coefficient,-,5.24
ClC(Cl)C(O)=O,79-43-6,C2H2Cl2O2,dichloroacetic acid,octanol_water_partition_coefficient,-,0.92
Cc1cccc(C(C)C)c1,535-77-3,C10H14,m-cymene,octanol_water_partition_coefficient,-,4.5
Clc1cc(Cl)ccc1,541-73-1,C6H4Cl2,m-dichlorobenzene,octanol_water_partition_coefficient,-,3.53
o1c2c(c3c1cccc3)cccc2,132-64-9,C12H8O,dibenzofuran,octanol_water_partition_coefficient,-,4.12
ClC(Cl)(F)F,75-71-8,CCl2F2,dichlorodifluoromethane,octanol_water_partition_coefficient,-,2.16
O=C(CCCCCCCC)C,693-54-9,C10H20O,2-decanone,octanol_water_partition_coefficient,-,3.72
S(CCCC)CCCC,544-40-1,C8H18S,dibutyl sulfide,octanol_water_partition_coefficient,-,3.87
c1cc(ccc1C(C)C)C,99-87-6,C10H14,p-cymene,octanol_water_partition_coefficient,-,4.1
ClC(Cl)F,75-43-4,CHCl2F,dichlorofluoromethane,octanol_water_partition_coefficient,-,1.55
ClCCCCl,142-28-9,C3H6Cl2,"1,3-dichloropropane",octanol_water_partition_coefficient,-,2
C1C[C@@H](CC=C1C)C(C)=C,5989-27-5,C10H16,d-limonene,octanol_water_partition_coefficient,-,4.83
CCCCCCCCCCS,143-10-2,C10H22S,decyl mercaptan,octanol_water_partition_coefficient,-,5.2
ClC(F)(F)C(Cl)(F)F,76-14-2,C2Cl2F4,"1,2-dichloro-1,1,2,2-tetrafluoroethane",octanol_water_partition_coefficient,-,2.82
CC(Br)CBr,78-75-1,C3H6Br2,"1,2-dibromopropane",octanol_water_partition_coefficient,-,2.43
ClC(Cl)=C,75-35-4,C2H2Cl2,"1,1-dichloroethylene",octanol_water_partition_coefficient,-,2.13
NCCCCCCCCCC,2016-57-1,C10H23N,decylamine,octanol_water_partition_coefficient,-,3.78
N(CC)CC,109-89-7,C4H11N,diethylamine,octanol_water_partition_coefficient,-,0.58
Nc1c(cccc1CC)CC,579-66-8,C10H15N,"2,6-diethylaniline",octanol_water_partition_coefficient,-,3.15
O(C(=O)C)CCCCCCCCCC,112-17-4,C12H24O2,decyl acetate,octanol_water_partition_coefficient,-,5.15
c1cc(ccc1CC)CC,105-05-5,C10H14,p-diethylbenzene,octanol_water_partition_coefficient,-,4.58
CCCCN(CC)CC,4444-68-2,C8H19N,diethylbutylamine,octanol_water_partition_coefficient,-,2.46
CC(Cl)CCl,78-87-5,C3H6Cl2,"1,2-dichloropropane",octanol_water_partition_coefficient,-,2.25
CCCCCCCCCCN(CC)CC,6308-94-7,C14H31N,diethyldecylamine,octanol_water_partition_coefficient,-,4.19
CCCCCCCCCCCCN(CC)CC,4271-27-6,C16H35N,diethyldodecylamine,octanol_water_partition_coefficient,-,4.39
CC[C@H]1[C@H](CC)CCC1,932-40-1,C9H18,"1,trans-2-diethylcyclopentane",octanol_water_partition_coefficient,-,5.48
O(CC)C(OCC)=O,105-58-8,C5H10O3,diethyl carbonate,octanol_water_partition_coefficient,-,1.21
N(CCN)CCN,111-40-0,C4H13N3,diethylene triamine,octanol_water_partition_coefficient,-,-2.13
CCc1cccc(CC)c1,141-93-5,C10H14,m-diethylbenzene,octanol_water_partition_coefficient,-,4.57
O(CCOCC)CCOCC,112-36-7,C8H18O3,diethylene glycol diethyl ether,octanol_water_partition_coefficient,-,0.39
O(CCO)CCO,111-46-6,C4H10O3,diethylene glycol,octanol_water_partition_coefficient,-,-1.47
CCC1(CC)CCCC1,2721-38-2,C9H18,"1,1-diethylcyclopentane",octanol_water_partition_coefficient,-,5.55
O(CCCC)CCOCCO,112-34-5,C8H18O3,diethylene glycol monobutyl ether,octanol_water_partition_coefficient,-,0.56
CC[C@@H]1[C@H](CC)CCC1,932-39-8,C9H18,"1,cis-2-diethylcyclopentane",octanol_water_partition_coefficient,-,5.62
O(CCCC)CCOCCOCCCC,112-73-2,C12H26O3,diethylene glycol dibutyl ether,octanol_water_partition_coefficient,-,1.92
CC[C@H]1C[C@H](CC)CC1,62016-60-8,C9H18,"1,trans-3-diethylcyclopentane",octanol_water_partition_coefficient,-,5.54
CC[C@@H]1C[C@H](CC)CC1,62016-59-5,C9H18,"1,cis-3-diethylcyclopentane",octanol_water_partition_coefficient,-,5.54
O(C(=O)C)CCOCCOCC,112-15-2,C8H16O4,diethylene glycol ethyl ether acetate,octanol_water_partition_coefficient,-,0.32
O(CC)CC,60-29-7,C4H10O,diethyl ether,octanol_water_partition_coefficient,-,0.89
CC#CCCCCCCC,2384-70-5,C10H18,2-decyne,octanol_water_partition_coefficient,-,5.35
CCCCC(CC)(CC)CC,17302-17-9,C11H24,"3,3-diethylheptane",octanol_water_partition_coefficient,-,7.18
C(CCCC=C)CCCC,872-05-9,C10H20,1-decene,octanol_water_partition_coefficient,-,5.12
CCCC(CC)C(CC)CC,61869-01-0,C11H24,"3,4-diethylheptane",octanol_water_partition_coefficient,-,7.04
ClC(CCl)=C,78-88-6,C3H4Cl2,"2,3-dichloropropene",octanol_water_partition_coefficient,-,2.42
CCC(CC)CC(CC)CC,61869-02-1,C11H24,"3,5-diethylheptane",octanol_water_partition_coefficient,-,7.02
